SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35000,OPTIDX,0,BANKNIFTY-Jun2026-65400-CE,30.0,BANKNIFTY 30 JUN 65400 CALL,2026-06-30 14:30:00,65400.0,CE,5.0,M,OP,,
NSE,D,35001,OPTIDX,0,BANKNIFTY-Jun2026-65400-PE,30.0,BANKNIFTY 30 JUN 65400 PUT,2026-06-30 14:30:00,65400.0,PE,5.0,M,OP,,
NSE,D,35002,OPTIDX,0,BANKNIFTY-Jun2026-65600-CE,30.0,BANKNIFTY 30 JUN 65600 CALL,2026-06-30 14:30:00,65600.0,CE,5.0,M,OP,,
NSE,D,35003,OPTIDX,0,BANKNIFTY-Jun2026-65600-PE,30.0,BANKNIFTY 30 JUN 65600 PUT,2026-06-30 14:30:00,65600.0,PE,5.0,M,OP,,
NSE,D,35004,OPTIDX,0,BANKNIFTY-Jun2026-65700-CE,30.0,BANKNIFTY 30 JUN 65700 CALL,2026-06-30 14:30:00,65700.0,CE,5.0,M,OP,,
NSE,D,35005,OPTIDX,0,BANKNIFTY-Jun2026-65700-PE,30.0,BANKNIFTY 30 JUN 65700 PUT,2026-06-30 14:30:00,65700.0,PE,5.0,M,OP,,
NSE,D,35006,OPTIDX,0,BANKNIFTY-Jun2026-65800-CE,30.0,BANKNIFTY 30 JUN 65800 CALL,2026-06-30 14:30:00,65800.0,CE,5.0,M,OP,,
NSE,D,35007,OPTIDX,0,BANKNIFTY-Jun2026-65800-PE,30.0,BANKNIFTY 30 JUN 65800 PUT,2026-06-30 14:30:00,65800.0,PE,5.0,M,OP,,
NSE,D,35008,OPTIDX,0,BANKNIFTY-Jun2026-82500-CE,30.0,BANKNIFTY 30 JUN 82500 CALL,2026-06-30 14:30:00,82500.0,CE,5.0,M,OP,,
NSE,D,35009,OPTIDX,0,BANKNIFTY-Jun2026-82500-PE,30.0,BANKNIFTY 30 JUN 82500 PUT,2026-06-30 14:30:00,82500.0,PE,5.0,M,OP,,
